second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;2;11;7;1.0;1.0;1.0;1.0;2.6086502075195312;679;1.0;1.0;7;0;0;0;1
62.0;1;0;8;1.0;1.0;1.0;1.0;0.026092529296875;608;1.0;1.0;0;0;8;0;1
63.0;4;11;30;0.4;0.49333334;0.5060908;0.60202384;0.16006851196289062;2910;0.44928208;0.5541146;30;0;0;0;1
63.0;1;0;38;0.50666666;0.50666666;0.39797616;0.39797616;0.12587356567382812;2888;0.44588545;0.44588545;0;0;38;0;1
63.0;0;11;7;0.093333334;0.49333334;0.095933035;0.60202384;0.03034210205078125;679;0.104832485;0.5541146;7;0;0;0;1
64.0;0;11;23;1.0;1.0;1.0;1.0;2.0903396606445312;2231;1.0;1.0;23;0;0;0;1
66.0;10;11;30;0.63829786;0.63829786;0.9162085;0.9162085;0.612823486328125;2910;0.69252735;0.69252735;30;0;0;0;1
66.0;1;0;17;0.3617021;0.3617021;0.083791494;0.083791494;0.0560455322265625;1292;0.30747265;0.30747265;0;0;17;0;1
67.0;1;11;30;0.5;1.0;0.10414869;1.0;0.11328887939453125;2910;0.5;1.0;30;0;0;0;1
67.0;2;11;30;0.5;1.0;0.8958513;1.0;0.9744720458984375;2910;0.5;1.0;30;0;0;0;1
68.0;6;11;30;0.3409091;0.6818182;0.784746;0.90589964;0.6024017333984375;2910;0.36612985;0.7322597;30;0;0;0;1
68.0;4;11;30;0.3409091;0.6818182;0.12115369;0.90589964;0.0930023193359375;2910;0.36612985;0.7322597;30;0;0;0;1
68.0;2;0;28;0.3181818;0.3181818;0.09410034;0.09410034;0.072235107421875;2128;0.2677403;0.2677403;0;0;28;0;1
69.0;2;0;4;1.0;1.0;1.0;1.0;0.012786865234375;304;1.0;1.0;0;0;4;0;1
70.0;3;11;30;1.0;1.0;1.0;1.0;1.6708145141601562;2910;1.0;1.0;30;0;0;0;1
71.0;10;11;30;0.5;1.0;0.15557966;1.0;0.07442474365234375;2910;0.5;1.0;30;0;0;0;1
71.0;0;11;30;0.5;1.0;0.8444204;1.0;0.4039459228515625;2910;0.5;1.0;30;0;0;0;1
72.0;8;11;30;1.0;1.0;1.0;1.0;0.8399429321289062;2910;1.0;1.0;30;0;0;0;1
73.0;5;11;30;0.38961038;0.6883117;0.47640845;0.7681486;0.16277313232421875;2910;0.4178033;0.7381192;30;0;0;0;1
73.0;2;0;24;0.6103896;0.3116883;0.5235915;0.23185137;0.07921600341796875;1824;0.5821967;0.26188084;0;0;24;0;1
73.0;2;11;23;0.6103896;0.6883117;0.5235915;0.7681486;0.09967803955078125;2231;0.5821967;0.7381192;23;0;0;0;1
74.0;2;11;7;0.1891892;1.0;0.71412814;1.0;0.76055908203125;679;0.1891892;1.0;7;0;0;0;1
74.0;9;11;30;0.8108108;1.0;0.2858719;1.0;0.3044586181640625;2910;0.8108108;1.0;30;0;0;0;1
75.0;1;11;30;0.5;1.0;0.3670731;1.0;0.4244842529296875;2910;0.5;1.0;30;0;0;0;1
75.0;4;11;30;0.5;1.0;0.63292694;1.0;0.7319183349609375;2910;0.5;1.0;30;0;0;0;1
76.0;1;0;82;0.73214287;0.73214287;0.7974076;0.7974076;0.22200775146484375;6232;0.6816889;0.6816889;0;0;82;0;1
76.0;10;11;30;0.26785713;0.26785713;0.20259234;0.20259234;0.05640411376953125;2910;0.3183111;0.3183111;30;0;0;0;1
77.0;7;11;30;0.5;1.0;0.11162218;1.0;0.27013397216796875;2910;0.5;1.0;30;0;0;0;1
77.0;0;11;30;0.5;1.0;0.88837785;1.0;2.1499404907226562;2910;0.5;1.0;30;0;0;0;1
79.0;5;11;30;0.75;1.0;0.9167924;1.0;0.47747039794921875;2910;0.75;1.0;30;0;0;0;1
79.0;1;11;10;0.25;1.0;0.08320759;1.0;0.0433349609375;970;0.25;1.0;10;0;0;0;1
80.0;1;11;20;1.0;1.0;1.0;1.0;1.062774658203125;1940;1.0;1.0;20;0;0;0;1
81.0;1;0;22;0.30136988;0.30136988;0.11767829;0.11767829;0.07271575927734375;1672;0.25260612;0.25260612;0;0;22;0;1
81.0;2;11;30;0.41095892;0.69863015;0.7350973;0.8823217;0.45423126220703125;2910;0.43964344;0.74739385;30;0;0;0;1
81.0;9;11;21;0.28767124;0.69863015;0.14722441;0.8823217;0.090972900390625;2037;0.3077504;0.74739385;21;0;0;0;1
82.0;9;11;9;0.05232558;0.4011628;0.14420323;0.68377626;0.12213134765625;873;0.060119826;0.46091866;9;0;0;0;1
82.0;4;11;30;0.44767442;0.4011628;0.48158723;0.68377626;0.317047119140625;2910;0.44638798;0.46091866;30;0;0;0;1
82.0;4;1;47;0.44767442;0.27325583;0.48158723;0.10724259;0.09082794189453125;3572;0.44638798;0.24598856;0;0;47;0;1
82.0;1;0;34;0.19767442;0.19767442;0.13251959;0.13251959;0.11223602294921875;2584;0.17794918;0.17794918;0;0;34;0;1
82.0;10;11;30;0.1744186;0.4011628;0.16522835;0.68377626;0.1399383544921875;2910;0.20039943;0.46091866;30;0;0;0;1
82.0;5;2;22;0.12790698;0.12790698;0.07646158;0.07646158;0.06475830078125;1672;0.11514358;0.11514358;0;0;22;0;1
83.0;4;1;280;0.51282054;0.51282054;0.4889738;0.4889738;0.48720550537109375;21280;0.51282054;0.51282054;0;0;280;0;1
83.0;5;2;8;0.014652015;0.014652015;0.023874791;0.023874791;0.0237884521484375;608;0.014652015;0.014652015;0;0;8;0;1
83.0;2;0;258;0.47252747;0.47252747;0.4871514;0.4871514;0.48538970947265625;19608;0.47252747;0.47252747;0;0;258;0;1
84.0;2;0;25;0.3125;0.3125;0.2393229;0.2393229;0.08208465576171875;1900;0.28315946;0.28315946;0;0;25;0;1
84.0;5;11;30;0.375;0.375;0.52021974;0.52021974;0.17842864990234375;2910;0.43368107;0.43368107;30;0;0;0;1
84.0;8;4;25;0.3125;0.3125;0.24045734;0.24045734;0.0824737548828125;1900;0.28315946;0.28315946;0;0;25;0;1
85.0;3;11;30;0.5;1.0;0.26512733;1.0;0.28374481201171875;2910;0.5;1.0;30;0;0;0;1
85.0;0;11;30;0.5;1.0;0.7348727;1.0;0.7864761352539062;2910;0.5;1.0;30;0;0;0;1
86.0;8;11;30;1.0;1.0;1.0;1.0;1.0217437744140625;2910;1.0;1.0;30;0;0;0;1
87.0;10;11;30;0.5555556;0.5555556;0.60760736;0.60760736;0.1226043701171875;2910;0.61470217;0.61470217;30;0;0;0;1
87.0;3;2;24;0.44444445;0.44444445;0.3923926;0.3923926;0.0791778564453125;1824;0.38529783;0.38529783;0;0;24;0;1
88.0;1;11;30;0.5;1.0;0.39319018;1.0;0.105194091796875;2910;0.5;1.0;30;0;0;0;1
88.0;2;11;30;0.5;1.0;0.6068098;1.0;0.16234588623046875;2910;0.5;1.0;30;0;0;0;1
89.0;4;11;30;0.09771987;0.09771987;0.2157169;0.2157169;0.15171051025390625;2910;0.12144228;0.12144228;30;0;0;0;1
89.0;1;0;135;0.4397394;0.4397394;0.58799535;0.58799535;0.4135284423828125;10260;0.42817795;0.42817795;0;0;135;0;1
89.0;8;4;142;0.46254072;0.46254072;0.19628774;0.19628774;0.1380462646484375;10792;0.45037976;0.45037976;0;0;142;0;1
90.0;9;11;30;1.0;1.0;1.0;1.0;1.1353607177734375;2910;1.0;1.0;30;0;0;0;1
91.0;3;11;30;0.61290324;0.58064514;0.6912493;0.75833416;0.31659698486328125;2910;0.57425016;0.6386247;30;0;0;0;1
91.0;5;11;30;0.19354838;0.58064514;0.23395196;0.75833416;0.1647491455078125;2910;0.2128749;0.6386247;30;0;0;0;1
91.0;3;2;65;0.61290324;0.41935483;0.6912493;0.24166586;0.1701812744140625;4940;0.57425016;0.36137527;0;0;65;0;1
91.0;10;11;30;0.19354838;0.58064514;0.074798755;0.75833416;0.05267333984375;2910;0.2128749;0.6386247;30;0;0;0;1
92.0;3;2;79;0.72477067;0.72477067;0.80402285;0.80402285;0.222015380859375;6004;0.6735472;0.6735472;0;0;79;0;1
92.0;0;11;30;0.27522936;0.27522936;0.19597712;0.19597712;0.05411529541015625;2910;0.32645276;0.32645276;30;0;0;0;1
93.0;8;11;6;1.0;1.0;1.0;1.0;0.02599334716796875;582;1.0;1.0;6;0;0;0;1
94.0;8;11;24;1.0;1.0;1.0;1.0;1.0086212158203125;2328;1.0;1.0;24;0;0;0;1
95.0;2;11;30;1.0;1.0;1.0;1.0;1.6119537353515625;2910;1.0;1.0;30;0;0;0;1
96.0;5;2;8;1.0;1.0;1.0;1.0;0.03271484375;816;1.0;1.0;8;0;0;0;1
97.0;9;11;30;0.5;1.0;0.123459056;1.0;0.1744384765625;2910;0.5;1.0;30;0;0;0;1
97.0;4;11;30;0.5;1.0;0.87654096;1.0;1.2384872436523438;2910;0.5;1.0;30;0;0;0;1
98.0;5;11;30;1.0;1.0;1.0;1.0;0.88751220703125;2910;1.0;1.0;30;0;0;0;1
99.0;8;11;30;0.33333334;1.0;0.044208266;1.0;0.10678863525390625;2910;0.33333334;1.0;30;0;0;0;1
99.0;0;11;30;0.33333334;1.0;0.06462739;1.0;0.1561126708984375;2910;0.33333334;1.0;30;0;0;0;1
99.0;10;11;30;0.33333334;1.0;0.89116436;1.0;2.152679443359375;2910;0.33333334;1.0;30;0;0;0;1
101.0;1;0;2;1.0;1.0;1.0;1.0;0.0066375732421875;152;1.0;1.0;0;0;2;0;1
102.0;1;0;3;0.36206895;0.6896552;0.41670907;0.6284977;0.009490966796875;228;0.412453;0.63518596;0;0;3;0;1
102.0;2;0;37;0.63793105;0.6896552;0.58329093;0.6284977;0.12245941162109375;2812;0.587547;0.63518596;0;0;37;0;1
102.0;1;11;18;0.36206895;0.31034482;0.41670907;0.37150228;0.07799530029296875;1746;0.412453;0.36481404;18;0;0;0;1
103.0;1;11;12;0.16666667;1.0;0.021065317;1.0;0.05120849609375;1164;0.16666667;1.0;12;0;0;0;1
103.0;9;11;30;0.41666666;1.0;0.10076641;1.0;0.24495697021484375;2910;0.41666666;1.0;30;0;0;0;1
103.0;2;11;30;0.41666666;1.0;0.8781683;1.0;2.1347732543945312;2910;0.41666666;1.0;30;0;0;0;1
